Building,lat,long
Agard,42.71044,-73.209405
Armstrong-Pratt,42.71678,-73.203551
Brooks,42.712488,-73.207347
Bryant,42.713915,-73.208243
Carter,42.714533,-73.208449
Chadbourne,42.711733,-73.208057
Currier,42.711242,-73.201377
Dodd,42.714867,-73.201054
Doughty,42.709603,-73.206516
East,42.711454,-73.202171
Fayerweather,42.710946,-73.202404
Fitch,42.710777,-73.201554
Garfield,42.712181,-73.21081
Gladden,42.714824,-73.208049
Goodrich,42.71464,-73.201849
Horn,42.711255,-73.208269
Hubbell,42.715305,-73.201534
Lambert,42.710439,-73.207211
Lehman,42.714611,-73.203309
Mark Hopkins,42.714385,-73.208598
Milham,42.71128,-73.207372
Mills-Dennett,42.716558,-73.202653
Morgan,42.711892,-73.204292
Parsons,42.715367,-73.20193
Perry,42.712739,-73.208482
Poker Flats,42.717808,-73.201717
Prospect,42.710572,-73.202145
Sage,42.714215,-73.204894
Sewall,42.714285,-73.201603
Spencer,42.712425,-73.20695
Susan Hopkins,42.708383,-73.206754
Thompson,42.717364,-73.203502
Tyler,42.718931,-73.206228
Tyler Annex,42.718708,-73.205762
West,42.71242,-73.205322
Williams,42.71484,-73.204723
Wood,42.712942,-73.20933
Woodbridge,42.713938,-73.20649
