"Building","Room","Room.Type","Name","Gender","year","predrace"
"Agard","Agard 110-Bed2","Double Room",1,"Female","20","p_whi"
"Agard","Agard 111-Bed1","Double Room",2,"Female","20","p_asi"
"Agard","Agard 201-Bed1","Double Room",3,"Male","20","p_whi"
"Agard","Agard 201-Bed2","Double Room",4,"Male","20","p_whi"
"Agard","Agard 202-Bed1","Single Room",5,"Female","18","p_bla"
"Agard","Agard 203-Bed1","Flex Room - Single",6,"Male","18","p_whi"
"Agard","Agard 204-Bed1","Single Room",7,"Male","19","p_asi"
"Agard","Agard 205-Bed1","Double Room",8,"Male","20","p_whi"
"Agard","Agard 205-Bed2","Double Room",9,"Male","20","p_whi"
"Agard","Agard 206-Bed1","Single Room",10,"Male","20","p_whi"
"Agard","Agard 209-Bed1","Double Room",11,"Male","20","p_whi"
"Agard","Agard 212-Bed1","Single Room",12,"Male","20","p_whi"
"Agard","Agard 213-Bed1","Double Room",13,"Male","20","p_whi"
"Agard","Agard 214-Bed1","Single Room",14,"Male","20","p_whi"
"Agard","Agard 215-Bed1","Single Room",15,"Female","20","p_whi"
"Agard","Agard 217-Bed1","Double Room",16,"Female","20","p_whi"
"Agard","Agard 301-Bed1","Double Room",17,"Male","19","p_bla"
"Agard","Agard 301-Bed2","Double Room",18,"Male","20","p_asi"
"Agard","Agard 302-Bed1","Double Room",19,"Male","19","p_whi"
"Agard","Agard 303-Bed1","Double Room",20,"Male","19","p_whi"
"Armstrong-Pratt","Armstrong 102-Bed1","Single Room",21,"Male","19","p_whi"
"Armstrong-Pratt","Armstrong 103-Bed1","Single Room",22,"Male","21","p_his"
"Armstrong-Pratt","Armstrong 104-Bed1","Single Room",23,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 105-Bed1","Single Room",24,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 106-Bed1","Single Room",25,"Male","21","p_bla"
"Armstrong-Pratt","Armstrong 107-Bed1","Single Room",26,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 108-Bed1","Single Room",27,"Female","21","p_asi"
"Armstrong-Pratt","Armstrong 109-Bed1","Single Room",28,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 110-Bed1","Single Room",29,"Female","21","p_bla"
"Armstrong-Pratt","Armstrong 112-Bed1","Single Room",30,"Female","21","p_bla"
"Armstrong-Pratt","Armstrong 113-Bed1","Single Room",31,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 201-Bed1","Single Room",32,"Female","21","p_his"
"Armstrong-Pratt","Armstrong 202-Bed1","Single Room",33,"Female","18","p_asi"
"Armstrong-Pratt","Armstrong 204-Bed1","Single Room",34,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 205-Bed1","Single Room",35,"Female","19","p_his"
"Armstrong-Pratt","Armstrong 207-Bed1","Single Room",36,"Male","19","p_whi"
"Armstrong-Pratt","Armstrong 208-Bed1","Single Room",37,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 209-Bed1","Single Room",38,"Male","21","p_asi"
"Armstrong-Pratt","Armstrong 211-Bed1","Single Room",39,"Male","21","p_bla"
"Armstrong-Pratt","Armstrong 212-Bed1","Single Room",40,"Male","21","p_his"
"Armstrong-Pratt","Armstrong 213-Bed1","Single Room",41,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 221-Bed1","Single Room",42,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 222-Bed1","Single Room",43,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 223-Bed1","Single Room",44,"Male","21","p_bla"
"Armstrong-Pratt","Armstrong 224-Bed1","Single Room",45,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 227-Bed1","Single Room",46,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 228-Bed1","Single Room",47,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 229-Bed1","Single Room",48,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 230-Bed1","Single Room",49,"Female","21","p_bla"
"Armstrong-Pratt","Armstrong 231-Bed1","Single Room",50,"Female","21","p_asi"
"Armstrong-Pratt","Armstrong 301-Bed1","Single Room",51,"Female","21","p_his"
"Armstrong-Pratt","Armstrong 302-Bed1","Single Room",52,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 303-Bed1","Single Room",53,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 304-Bed1","Single Room",54,"Female","21","p_asi"
"Armstrong-Pratt","Armstrong 305-Bed1","Single Room",55,"Female","19","p_bla"
"Armstrong-Pratt","Armstrong 307-Bed1","Single Room",56,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 308-Bed1","Single Room",57,"Male","21","p_asi"
"Armstrong-Pratt","Armstrong 309-Bed1","Single Room",58,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 310-Bed1","Single Room",59,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 311-Bed1","Single Room",60,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 312-Bed1","Single Room",61,"Male","21","p_bla"
"Armstrong-Pratt","Armstrong 313-Bed1","Single Room",62,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 321-Bed1","Single Room",63,"Male","21","p_bla"
"Armstrong-Pratt","Armstrong 323-Bed1","Single Room",64,"Male","21","p_bla"
"Armstrong-Pratt","Armstrong 325-Bed1","Single Room",65,"Male","19","p_whi"
"Armstrong-Pratt","Armstrong 327-Bed1","Single Room",66,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 328-Bed1","Single Room",67,"Female","21","p_bla"
"Armstrong-Pratt","Armstrong 329-Bed1","Single Room",68,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 330-Bed1","Single Room",69,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 331-Bed1","Single Room",70,"Female","21","p_asi"
"Armstrong-Pratt","Armstrong 402-Bed1","Single Room",71,"Female","21","p_bla"
"Armstrong-Pratt","Armstrong 403-Bed1","Single Room",72,"Female","21","p_asi"
"Armstrong-Pratt","Armstrong 404-Bed1","Single Room",73,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 405-Bed1","Single Room",74,"Female","19","p_whi"
"Armstrong-Pratt","Armstrong 407-Bed1","Single Room",75,"Male","19","p_whi"
"Armstrong-Pratt","Armstrong 408-Bed1","Single Room",76,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 409-Bed1","Single Room",77,"Male","21","p_bla"
"Armstrong-Pratt","Armstrong 410-Bed1","Single Room",78,"Male","21","p_asi"
"Armstrong-Pratt","Armstrong 411-Bed1","Single Room",79,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 413-Bed1","Single Room",80,"Male","21","p_his"
"Armstrong-Pratt","Armstrong 421-Bed1","Single Room",81,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 422-Bed1","Single Room",82,"Male","21","p_bla"
"Armstrong-Pratt","Armstrong 423-Bed1","Single Room",83,"Male","21","p_whi"
"Armstrong-Pratt","Armstrong 424-Bed1","Single Room",84,"Male","21","p_asi"
"Armstrong-Pratt","Armstrong 425-Bed1","Single Room",85,"Male","21","p_his"
"Armstrong-Pratt","Armstrong 427-Bed1","Single Room",86,"Female","21","p_asi"
"Armstrong-Pratt","Armstrong 428-Bed1","Single Room",87,"Female","21","p_bla"
"Armstrong-Pratt","Armstrong 430-Bed1","Single Room",88,"Female","21","p_whi"
"Armstrong-Pratt","Armstrong 431-Bed1","Single Room",89,"Female","21","p_his"
"Armstrong-Pratt","Pratt 101-Bed1","Double Room",90,"Male","21","p_whi"
"Armstrong-Pratt","Pratt 101-Bed2","Double Room",91,"Male","21","p_bla"
"Armstrong-Pratt","Pratt 102-Bed1","Single Room",92,"Male","21","p_whi"
"Armstrong-Pratt","Pratt 103-Bed1","Single Room",93,"Male","21","p_asi"
"Armstrong-Pratt","Pratt 104-Bed1","Single Room",94,"Male","21","p_whi"
"Armstrong-Pratt","Pratt 105-Bed1","Single Room",95,"Male","21","p_asi"
"Armstrong-Pratt","Pratt 106-Bed1","Single Room",96,"Male","21","p_whi"
"Armstrong-Pratt","Pratt 107-Bed1","Single Room",97,"Male","21","p_asi"
"Armstrong-Pratt","Pratt 108-Bed1","Single Room",98,"Female","21","p_whi"
"Armstrong-Pratt","Pratt 109-Bed1","Single Room",99,"Female","21","p_whi"
"Armstrong-Pratt","Pratt 110-Bed1","Single Room",100,"Female","21","p_whi"
"Armstrong-Pratt","Pratt 112-Bed1","Single Room",101,"Female","19","p_bla"
"Armstrong-Pratt","Pratt 201-Bed1","Double Room",102,"Male","21","p_asi"
"Armstrong-Pratt","Pratt 202-Bed1","Single Room",103,"Male","21","p_asi"
"Armstrong-Pratt","Pratt 203-Bed1","Single Room",104,"Male","21","p_whi"
"Armstrong-Pratt","Pratt 204-Bed1","Single Room",105,"Male","21","p_whi"
"Armstrong-Pratt","Pratt 205-Bed1","Single Room",106,"Male","19","p_asi"
"Armstrong-Pratt","Pratt 207-Bed1","Single Room",107,"Female","19","p_bla"
"Armstrong-Pratt","Pratt 208-Bed1","Single Room",108,"Female","21","p_whi"
"Armstrong-Pratt","Pratt 209-Bed1","Single Room",109,"Female","21","p_whi"
"Armstrong-Pratt","Pratt 210-Bed1","Single Room",110,"Female","21","p_his"
"Armstrong-Pratt","Pratt 211-Bed1","Single Room",111,"Female","21","p_bla"
"Armstrong-Pratt","Pratt 221-Bed1","Single Room",112,"Male","21","p_whi"
"Armstrong-Pratt","Pratt 222-Bed1","Single Room",113,"Male","21","p_whi"
"Armstrong-Pratt","Pratt 223-Bed1","Single Room",114,"Male","21","p_asi"
"Armstrong-Pratt","Pratt 224-Bed1","Single Room",115,"Male","21","p_whi"
"Armstrong-Pratt","Pratt 225-Bed1","Single Room",116,"Male","21","p_bla"
"Armstrong-Pratt","Pratt 227-Bed1","Single Room",117,"Female","21","p_whi"
"Armstrong-Pratt","Pratt 228-Bed1","Single Room",118,"Female","21","p_asi"
"Armstrong-Pratt","Pratt 229-Bed1","Single Room",119,"Female","21","p_asi"
